Object Name,RA,DEC,Redshift z,Heliocentric Velocity,Magnitude,Associations
COMAi J125953.929+275813.75,194.97475,27.97051,0.022482,6740,18.63,3
WISEA J130441.68+281339.1,196.17369,28.22753,0.024055,7212,18.64,0
SDSS J125850.76+275944.1,194.7115,27.9956,0.02235,6700,18.66,0
WISEA J130007.48+275729.6,195.03119,27.95822,0.020714,6210,18.66,0
WISEA J130117.85+280549.3,195.32441,28.09704,0.026791,8032,18.66,0
WISEA J130137.33+280056.7,195.40554,28.01578,0.023833,7145,18.66,0
WISEA J130017.63+275915.1,195.07353,27.98755,0.020026,6004,18.7,2
WISEA J130143.29+281752.1,195.43038,28.29782,0.025658,7692,18.7,0
WISEA J125836.10+275221.9,194.65043,27.87292,0.023656,7092,18.71,0
WISEA J125919.69+275805.1,194.83206,27.9681,0.027893,8362,18.71,0
WISEA J125601.95+273953.2,194.00809,27.66462,0.020744,6219,18.72,0
WISEA J130005.68+275535.4,195.02369,27.92646,0.02653,7953,18.72,0
WISEA J125816.53+274809.3,194.56889,27.8026,0.018993,5694,18.74,0
WISEA J125504.98+280345.0,193.77079,28.06252,0.020904,6267,18.75,0
WISEA J125940.72+280839.7,194.9197,28.14437,0.025648,7689,18.75,0
SDSS J130053.76+275805.7,195.22405,27.96826,0.019331,5795,18.78,0
WISEA J130545.16+271855.3,196.43818,27.31538,0.021125,6333,18.8,0
WISEA J125614.26+274856.2,194.05946,27.81564,0.022222,6662,18.81,0
WISEA J125712.25+280543.3,194.30118,28.09535,0.019631,5885,18.81,0
SDSS J125831.66+272342.1,194.63197,27.39501,0.025237,7566,18.82,0
WISEA J125712.70+280800.6,194.30293,28.13365,0.023305,6987,18.83,0
WISEA J130416.78+285102.9,196.07005,28.85072,0.025229,7563,18.83,0
WISEA J125837.42+281310.2,194.65579,28.2195,0.022717,6810,18.89,0
WISEA J125932.06+274313.4,194.88366,27.72044,0.025556,7661,18.89,0
WISEA J130148.28+274342.5,195.4512,27.72848,0.018387,5512,18.89,0
WISEA J125444.95+272439.6,193.68733,27.41101,0.025867,7755,18.9,0
WISEA J130140.57+273255.9,195.41894,27.54894,0.021831,6545,18.91,0
WISEA J130010.47+283730.7,195.04358,28.62524,0.022075,6618,18.92,0
WISEA J125647.86+281131.7,194.19944,28.19216,0.0194,5816,18.93,0
WISEA J125647.03+270324.6,194.19598,27.05685,0.021594,6474,18.94,0
WISEA J125718.97+265615.4,194.32907,26.93761,0.025634,7685,18.94,0
WISEA J130030.84+271800.4,195.12852,27.3002,0.025472,7636,18.94,0
WISEA J130055.18+270717.0,195.23008,27.12157,0.021406,6417,18.94,0
WISEA J130336.56+280552.6,195.9024,28.09795,0.020597,6175,18.96,0
WISEA J125853.79+272319.1,194.72416,27.38864,0.025758,7722,18.98,0
2MASS J12593720+2758203,194.90492,27.97217,0.025091,7522,18.98,0
WISEA J130151.07+272443.2,195.46279,27.41188,0.020141,6038,18.98,0
