

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2026-05-18T03:35:50PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
114|WISEA J125436.15+273152.8|193.65043 |  27.53127 |G|  5448| 0.018171 |SLS |20.89|  0.000|1|0|27|4|1|4|0
115|WISEA J125436.75+285548.9|193.65314 |  28.93026 |G|  2338| 0.007800 |SUN |18.90|  0.000|7|1|36|5|2|0|0
116|CGCG 159-115|193.65342 |  26.93513 |G|  5929| 0.019778 |SLS |15.6 |  0.000|46|0|49|18|11|8|0
117|WISEA J125437.04+271903.0|193.65436 |  27.31753 |G|  7486| 0.024971 |SLS |18.2g|  0.000|18|0|18|11|6|0|0
118|WISEA J125437.43+274131.1|193.65599 |  27.69200 |G|  8442| 0.028160 |SLS |17.69|  0.000|29|0|44|16|14|6|0
119|SDSS J125437.93+285456.7|193.65813 |  28.91570 |G|  2392| 0.007979 |SLS |20.2g|  0.000|1|0|23|4|1|4|0
120|NGC 4793|193.66946 |  28.93869 |G|  2485| 0.008288 |SLS |12.3 |  0.000|241|7|97|54|43|8|0
121|SDSS J125441.04+285611.4|193.67104 |  28.93650 |PofG|  2482| 0.008278 |SLS |14.9g|  0.000|7|0|20|3|3|4|1
122|WISEA J125441.63+270229.0|193.67347 |  27.04141 |G|  7085| 0.023633 |SLS |18.21|  0.000|27|0|48|21|14|6|0
123|WISEA J125441.88+280245.5|193.67450 |  28.04598 |G|  7671| 0.025588 |SLS |17.2g|  0.000|23|0|38|16|11|4|0
124|WISEA J125442.05+273820.5|193.67528 |  27.63898 |G|  8621| 0.028756 |SLS |18.46|  0.000|21|0|31|13|8|4|0
125|SDSS J125443.00+275404.9|193.67921 |  27.90135 |G| 12188| 0.040654 |SLS |21.3g|  0.000|0|0|19|3|1|4|0
126|SDSS J125443.12+283748.9|193.67968 |  28.63025 |G| 10394| 0.034669 |SLS |20.43|  0.000|1|0|23|5|1|4|0
127|SDSS J125443.46+272719.4|193.68113 |  27.45544 |G|  7855| 0.026200 |SLS |17.6g|  0.000|21|0|19|13|10|4|1
128|WISEA J125443.83+280636.0|193.68271 |  28.10996 |G| 10257| 0.034212 |SLS |19.9g|  0.000|1|0|31|5|2|4|0
129|WISEA J125444.95+272439.6|193.68733 |  27.41101 |G|  7755| 0.025867 |SLS |18.90|  0.000|22|0|33|15|10|4|0
130|PGC1 0043939 NED002|193.68942 |  28.92519 |G|  2347| 0.007829 |SUN |17.79|  0.000|18|1|7|9|8|0|1
131|SDSS J125445.46+285530.7|193.68943 |  28.92521 |G|  2360| 0.007872 |SLS |17.3g|  0.000|5|0|28|4|3|4|1
132|WISEA J125447.71+272024.7|193.69882 |  27.34021 |G| 12030| 0.040128 |SLS |16.58|  0.000|25|0|46|11|8|6|0
133|WISEA J125448.82+274705.4|193.70359 |  27.78472 |G|  6478| 0.021609 |SLS |19.78|  0.000|1|0|12|3|1|0|0
134|SDSS J125449.28+272735.7|193.70527 |  27.45988 |G| 10104| 0.033704 |SLS |22.9g|  0.000|0|0|19|3|1|4|0
135|SDSS J125449.31+265952.4|193.70545 |  26.99788 |G|  7549| 0.025182 |SLS |18.8g|  0.000|0|0|15|2|1|4|1
136|SDSS J125451.03+270407.1|193.71265 |  27.06859 |G|  8162| 0.027227 |SLS |19.1g|  0.000|0|0|15|2|1|4|0
137|WISEA J125451.36+272939.8|193.71400 |  27.49439 |G|  7058| 0.023544 |SLS |19.22|  0.000|18|0|14|13|9|0|0
138|WISEA J125452.29+292114.0|193.71787 |  29.35412 |G|  6766| 0.022570 |SLS |20.0g|  0.000|0|0|35|5|1|4|0
139|WISEA J125452.52+271433.0|193.71891 |  27.24252 |G| 12022| 0.040101 |SLS |20.31|  0.000|1|0|35|6|1|4|0
140|WISEA J125452.71+263433.2|193.71963 |  26.57590 |G|  6012| 0.020055 |SLS |19.25|  0.000|27|0|21|20|13|0|0
